sample	reads
NAO-ONT-20250213-Zephyr10-01-div0045	1151
NAO-ONT-20250213-Zephyr10-01-div0046	1339
NAO-ONT-20250213-Zephyr10-01-div0047	1270
NAO-ONT-20250213-Zephyr10-01-div0048	1355
NAO-ONT-20250213-Zephyr10-01-div0049	2336
NAO-ONT-20250213-Zephyr10-01-div0050	2440
NAO-ONT-20250213-Zephyr10-01-div0051	1505
NAO-ONT-20250213-Zephyr10-01-div0052	2006
NAO-ONT-20250213-Zephyr10-01-div0053	1725
NAO-ONT-20250213-Zephyr10-02-div0001	4904
NAO-ONT-20250213-Zephyr10-02-div0002	2926
NAO-ONT-20250213-Zephyr10-02-div0003	6486
NAO-ONT-20250213-Zephyr10-02-div0004	3697
NAO-ONT-20250213-Zephyr10-02-div0005	5626
NAO-ONT-20250213-Zephyr10-02-div0006	5096
NAO-ONT-20250213-Zephyr10-02-div0007	4226
NAO-ONT-20250213-Zephyr10-02-div0008	4524
NAO-ONT-20250213-Zephyr10-02-div0009	4700
NAO-ONT-20250213-Zephyr10-02-div0010	3356
NAO-ONT-20250213-Zephyr10-02-div0011	3350
NAO-ONT-20250213-Zephyr10-02-div0012	3877
NAO-ONT-20250213-Zephyr10-02-div0013	4087
NAO-ONT-20250213-Zephyr10-02-div0014	3557
NAO-ONT-20250213-Zephyr10-02-div0015	2218
NAO-ONT-20250213-Zephyr10-02-div0016	4161
NAO-ONT-20250213-Zephyr10-02-div0017	4989
NAO-ONT-20250213-Zephyr10-02-div0018	2948
NAO-ONT-20250213-Zephyr10-02-div0019	3764
NAO-ONT-20250213-Zephyr10-02-div0020	1871
NAO-ONT-20250213-Zephyr10-02-div0021	5268
NAO-ONT-20250213-Zephyr10-02-div0022	4279
NAO-ONT-20250213-Zephyr10-02-div0023	4429
NAO-ONT-20250213-Zephyr10-02-div0024	3725
NAO-ONT-20250213-Zephyr10-02-div0025	5987
NAO-ONT-20250213-Zephyr10-02-div0026	5511
NAO-ONT-20250213-Zephyr10-02-div0027	2229
NAO-ONT-20250213-Zephyr10-02-div0028	6433
NAO-ONT-20250213-Zephyr10-02-div0029	4495
NAO-ONT-20250213-Zephyr10-02-div0030	5582
NAO-ONT-20250213-Zephyr10-02-div0031	3668
NAO-ONT-20250213-Zephyr10-02-div0032	3805
NAO-ONT-20250213-Zephyr10-02-div0033	4752
NAO-ONT-20250213-Zephyr10-02-div0034	1818
NAO-ONT-20250213-Zephyr10-02-div0035	4590
NAO-ONT-20250213-Zephyr10-02-div0036	4634
NAO-ONT-20250213-Zephyr10-02-div0037	4104
NAO-ONT-20250213-Zephyr10-02-div0038	6040
NAO-ONT-20250213-Zephyr10-02-div0039	4908
NAO-ONT-20250213-Zephyr10-02-div0040	2970
NAO-ONT-20250213-Zephyr10-02-div0041	5037
NAO-ONT-20250213-Zephyr10-02-div0042	4294
NAO-ONT-20250213-Zephyr10-02-div0043	2341
NAO-ONT-20250213-Zephyr10-02-div0044	3597
NAO-ONT-20250213-Zephyr10-02-div0045	3008
NAO-ONT-20250213-Zephyr10-02-div0046	3798
NAO-ONT-20250213-Zephyr10-02-div0047	3279
NAO-ONT-20250213-Zephyr10-02-div0048	3399
NAO-ONT-20250213-Zephyr10-02-div0049	5795
NAO-ONT-20250213-Zephyr10-02-div0050	7296
NAO-ONT-20250213-Zephyr10-02-div0051	4175
NAO-ONT-20250213-Zephyr10-02-div0052	4895
NAO-ONT-20250213-Zephyr10-02-div0053	4608
NAO-ONT-20250213-Zephyr10-03-div0001	3345
NAO-ONT-20250213-Zephyr10-03-div0002	2027
NAO-ONT-20250213-Zephyr10-03-div0003	4174
NAO-ONT-20250213-Zephyr10-03-div0004	2487
NAO-ONT-20250213-Zephyr10-03-div0005	3876
NAO-ONT-20250213-Zephyr10-03-div0006	3239
NAO-ONT-20250213-Zephyr10-03-div0007	2708
NAO-ONT-20250213-Zephyr10-03-div0008	3000
NAO-ONT-20250213-Zephyr10-03-div0009	3021
NAO-ONT-20250213-Zephyr10-03-div0010	2208
NAO-ONT-20250213-Zephyr10-03-div0011	2265
NAO-ONT-20250213-Zephyr10-03-div0012	2556
NAO-ONT-20250213-Zephyr10-03-div0013	2712
NAO-ONT-20250213-Zephyr10-03-div0014	2557
NAO-ONT-20250213-Zephyr10-03-div0015	1538
NAO-ONT-20250213-Zephyr10-03-div0016	2689
NAO-ONT-20250213-Zephyr10-03-div0017	3600
NAO-ONT-20250213-Zephyr10-03-div0018	2015
NAO-ONT-20250213-Zephyr10-03-div0019	2383
NAO-ONT-20250213-Zephyr10-03-div0020	1342
NAO-ONT-20250213-Zephyr10-03-div0021	3401
NAO-ONT-20250213-Zephyr10-03-div0022	2758
NAO-ONT-20250213-Zephyr10-03-div0023	2847
NAO-ONT-20250213-Zephyr10-03-div0024	2470
NAO-ONT-20250213-Zephyr10-03-div0025	3830
NAO-ONT-20250213-Zephyr10-03-div0026	3790
NAO-ONT-20250213-Zephyr10-03-div0027	1501
NAO-ONT-20250213-Zephyr10-03-div0028	4088
NAO-ONT-20250213-Zephyr10-03-div0029	3033
NAO-ONT-20250213-Zephyr10-03-div0030	3776
NAO-ONT-20250213-Zephyr10-03-div0031	2466
NAO-ONT-20250213-Zephyr10-03-div0032	2587
NAO-ONT-20250213-Zephyr10-03-div0033	3260
NAO-ONT-20250213-Zephyr10-03-div0034	1301
NAO-ONT-20250213-Zephyr10-03-div0035	2982
NAO-ONT-20250213-Zephyr10-03-div0036	2969
NAO-ONT-20250213-Zephyr10-03-div0037	2834
NAO-ONT-20250213-Zephyr10-03-div0038	3965
NAO-ONT-20250213-Zephyr10-03-div0039	3270
NAO-ONT-20250213-Zephyr10-03-div0040	2115
NAO-ONT-20250213-Zephyr10-03-div0041	3047
NAO-ONT-20250213-Zephyr10-03-div0042	3114
NAO-ONT-20250213-Zephyr10-03-div0043	1680
NAO-ONT-20250213-Zephyr10-03-div0044	2380
NAO-ONT-20250213-Zephyr10-03-div0045	2062
NAO-ONT-20250213-Zephyr10-03-div0046	2435
NAO-ONT-20250213-Zephyr10-03-div0047	2155
NAO-ONT-20250213-Zephyr10-03-div0048	2256
NAO-ONT-20250213-Zephyr10-03-div0049	3972
NAO-ONT-20250213-Zephyr10-03-div0050	4749
NAO-ONT-20250213-Zephyr10-03-div0051	2782
NAO-ONT-20250213-Zephyr10-03-div0052	3301
NAO-ONT-20250213-Zephyr10-03-div0053	2916
NAO-ONT-20250213-Zephyr10-04-div0001	6092
NAO-ONT-20250213-Zephyr10-04-div0002	3840
NAO-ONT-20250213-Zephyr10-04-div0003	9294
NAO-ONT-20250213-Zephyr10-04-div0004	4840
NAO-ONT-20250213-Zephyr10-04-div0005	7129
NAO-ONT-20250213-Zephyr10-04-div0006	7089
NAO-ONT-20250213-Zephyr10-04-div0007	5860
NAO-ONT-20250213-Zephyr10-04-div0008	5686
NAO-ONT-20250213-Zephyr10-04-div0009	6513
NAO-ONT-20250213-Zephyr10-04-div0010	4171
NAO-ONT-20250213-Zephyr10-04-div0011	4338
NAO-ONT-20250213-Zephyr10-04-div0012	5083
NAO-ONT-20250213-Zephyr10-04-div0013	5382
NAO-ONT-20250213-Zephyr10-04-div0014	4574
NAO-ONT-20250213-Zephyr10-04-div0015	2884
NAO-ONT-20250213-Zephyr10-04-div0016	5792
NAO-ONT-20250213-Zephyr10-04-div0017	6416
NAO-ONT-20250213-Zephyr10-04-div0018	3732
NAO-ONT-20250213-Zephyr10-04-div0019	4934
NAO-ONT-20250213-Zephyr10-04-div0020	2395
NAO-ONT-20250213-Zephyr10-04-div0021	7343
NAO-ONT-20250213-Zephyr10-04-div0022	5856
NAO-ONT-20250213-Zephyr10-04-div0023	5982
NAO-ONT-20250213-Zephyr10-04-div0024	5006
NAO-ONT-20250213-Zephyr10-04-div0025	8423
NAO-ONT-20250213-Zephyr10-04-div0026	7102
NAO-ONT-20250213-Zephyr10-04-div0027	2829
NAO-ONT-20250213-Zephyr10-04-div0028	8904
NAO-ONT-20250213-Zephyr10-04-div0029	6909
NAO-ONT-20250213-Zephyr10-04-div0030	6954
NAO-ONT-20250213-Zephyr10-04-div0031	4983
NAO-ONT-20250213-Zephyr10-04-div0032	5314
NAO-ONT-20250213-Zephyr10-04-div0033	6102
NAO-ONT-20250213-Zephyr10-04-div0034	2412
NAO-ONT-20250213-Zephyr10-04-div0035	6264
NAO-ONT-20250213-Zephyr10-04-div0036	6351
NAO-ONT-20250213-Zephyr10-04-div0037	5026
NAO-ONT-20250213-Zephyr10-04-div0038	8821
NAO-ONT-20250213-Zephyr10-04-div0039	6455
NAO-ONT-20250213-Zephyr10-04-div0040	3732
NAO-ONT-20250213-Zephyr10-04-div0041	6803
NAO-ONT-20250213-Zephyr10-04-div0042	5358
NAO-ONT-20250213-Zephyr10-04-div0043	3140
NAO-ONT-20250213-Zephyr10-04-div0044	4864
NAO-ONT-20250213-Zephyr10-04-div0045	4030
NAO-ONT-20250213-Zephyr10-04-div0046	4999
NAO-ONT-20250213-Zephyr10-04-div0047	4230
NAO-ONT-20250213-Zephyr10-04-div0048	4398
NAO-ONT-20250213-Zephyr10-04-div0049	7165
NAO-ONT-20250213-Zephyr10-04-div0050	10423
NAO-ONT-20250213-Zephyr10-04-div0051	5570
NAO-ONT-20250213-Zephyr10-04-div0052	6343
NAO-ONT-20250213-Zephyr10-04-div0053	6451
NAO-ONT-20250213-Zephyr10-05-div0001	5649
NAO-ONT-20250213-Zephyr10-05-div0002	3496
NAO-ONT-20250213-Zephyr10-05-div0003	7822
NAO-ONT-20250213-Zephyr10-05-div0004	4189
NAO-ONT-20250213-Zephyr10-05-div0005	6714
NAO-ONT-20250213-Zephyr10-05-div0006	5974
NAO-ONT-20250213-Zephyr10-05-div0007	4992
NAO-ONT-20250213-Zephyr10-05-div0008	5284
NAO-ONT-20250213-Zephyr10-05-div0009	5534
NAO-ONT-20250213-Zephyr10-05-div0010	3832
NAO-ONT-20250213-Zephyr10-05-div0011	3971
NAO-ONT-20250213-Zephyr10-05-div0012	4492
NAO-ONT-20250213-Zephyr10-05-div0013	4812
NAO-ONT-20250213-Zephyr10-05-div0014	4114
NAO-ONT-20250213-Zephyr10-05-div0015	2636
NAO-ONT-20250213-Zephyr10-05-div0016	5022
NAO-ONT-20250213-Zephyr10-05-div0017	5965
NAO-ONT-20250213-Zephyr10-05-div0018	3376
NAO-ONT-20250213-Zephyr10-05-div0019	4164
NAO-ONT-20250213-Zephyr10-05-div0020	2217
NAO-ONT-20250213-Zephyr10-05-div0021	6118
NAO-ONT-20250213-Zephyr10-05-div0022	5051
NAO-ONT-20250213-Zephyr10-05-div0023	5280
NAO-ONT-20250213-Zephyr10-05-div0024	4385
NAO-ONT-20250213-Zephyr10-05-div0025	7180
NAO-ONT-20250213-Zephyr10-05-div0026	6600
NAO-ONT-20250213-Zephyr10-05-div0027	2697
NAO-ONT-20250213-Zephyr10-05-div0028	7526
NAO-ONT-20250213-Zephyr10-05-div0029	5539
NAO-ONT-20250213-Zephyr10-05-div0030	6514
NAO-ONT-20250213-Zephyr10-05-div0031	4390
NAO-ONT-20250213-Zephyr10-05-div0032	4599
NAO-ONT-20250213-Zephyr10-05-div0033	5494
NAO-ONT-20250213-Zephyr10-05-div0034	2212
NAO-ONT-20250213-Zephyr10-05-div0035	5445
NAO-ONT-20250213-Zephyr10-05-div0036	5511
NAO-ONT-20250213-Zephyr10-05-div0037	4773
NAO-ONT-20250213-Zephyr10-05-div0038	7363
NAO-ONT-20250213-Zephyr10-05-div0039	5647
NAO-ONT-20250213-Zephyr10-05-div0040	3440
NAO-ONT-20250213-Zephyr10-05-div0041	5645
NAO-ONT-20250213-Zephyr10-05-div0042	4967
NAO-ONT-20250213-Zephyr10-05-div0043	2837
NAO-ONT-20250213-Zephyr10-05-div0044	4189
NAO-ONT-20250213-Zephyr10-05-div0045	3562
NAO-ONT-20250213-Zephyr10-05-div0046	4339
NAO-ONT-20250213-Zephyr10-05-div0047	3715
NAO-ONT-20250213-Zephyr10-05-div0048	4046
NAO-ONT-20250213-Zephyr10-05-div0049	6712
NAO-ONT-20250213-Zephyr10-05-div0050	8571
NAO-ONT-20250213-Zephyr10-05-div0051	4873
NAO-ONT-20250213-Zephyr10-05-div0052	5786
NAO-ONT-20250213-Zephyr10-05-div0053	5472
NAO-ONT-20250213-Zephyr10-06-div0001	1909
NAO-ONT-20250213-Zephyr10-06-div0002	1126
NAO-ONT-20250213-Zephyr10-06-div0003	2514
NAO-ONT-20250213-Zephyr10-06-div0004	1442
NAO-ONT-20250213-Zephyr10-06-div0005	2172
NAO-ONT-20250213-Zephyr10-06-div0006	2014
NAO-ONT-20250213-Zephyr10-06-div0007	1709
NAO-ONT-20250213-Zephyr10-06-div0008	1775
NAO-ONT-20250213-Zephyr10-06-div0009	1813
NAO-ONT-20250213-Zephyr10-06-div0010	1311
NAO-ONT-20250213-Zephyr10-06-div0011	1285
NAO-ONT-20250213-Zephyr10-06-div0012	1489
NAO-ONT-20250213-Zephyr10-06-div0013	1609
NAO-ONT-20250213-Zephyr10-06-div0014	1368
NAO-ONT-20250213-Zephyr10-06-div0015	899
NAO-ONT-20250213-Zephyr10-06-div0016	1709
NAO-ONT-20250213-Zephyr10-06-div0017	1921
NAO-ONT-20250213-Zephyr10-06-div0018	1116
NAO-ONT-20250213-Zephyr10-06-div0019	1439
NAO-ONT-20250213-Zephyr10-06-div0020	731
NAO-ONT-20250213-Zephyr10-06-div0021	2076
NAO-ONT-20250213-Zephyr10-06-div0022	1659
NAO-ONT-20250213-Zephyr10-06-div0023	1758
NAO-ONT-20250213-Zephyr10-06-div0024	1451
NAO-ONT-20250213-Zephyr10-06-div0025	2277
NAO-ONT-20250213-Zephyr10-06-div0026	2140
NAO-ONT-20250213-Zephyr10-06-div0027	880
NAO-ONT-20250213-Zephyr10-06-div0028	2351
NAO-ONT-20250213-Zephyr10-06-div0029	1767
NAO-ONT-20250213-Zephyr10-06-div0030	2126
NAO-ONT-20250213-Zephyr10-06-div0031	1485
NAO-ONT-20250213-Zephyr10-06-div0032	1582
NAO-ONT-20250213-Zephyr10-06-div0033	1876
NAO-ONT-20250213-Zephyr10-06-div0034	731
NAO-ONT-20250213-Zephyr10-06-div0035	1803
NAO-ONT-20250213-Zephyr10-06-div0036	1874
NAO-ONT-20250213-Zephyr10-06-div0037	1591
NAO-ONT-20250213-Zephyr10-06-div0038	2271
NAO-ONT-20250213-Zephyr10-06-div0039	1928
NAO-ONT-20250213-Zephyr10-06-div0040	1148
NAO-ONT-20250213-Zephyr10-06-div0041	1940
NAO-ONT-20250213-Zephyr10-06-div0042	1674
NAO-ONT-20250213-Zephyr10-06-div0043	964
NAO-ONT-20250213-Zephyr10-06-div0044	1530
NAO-ONT-20250213-Zephyr10-06-div0045	1189
NAO-ONT-20250213-Zephyr10-06-div0046	1454
NAO-ONT-20250213-Zephyr10-06-div0047	1310
NAO-ONT-20250213-Zephyr10-06-div0048	1365
NAO-ONT-20250213-Zephyr10-06-div0049	2192
NAO-ONT-20250213-Zephyr10-06-div0050	2741
NAO-ONT-20250213-Zephyr10-06-div0051	1633
NAO-ONT-20250213-Zephyr10-06-div0052	1910
NAO-ONT-20250213-Zephyr10-06-div0053	1774
NAO-ONT-20250213-Zephyr10-07-div0001	2341
NAO-ONT-20250213-Zephyr10-07-div0002	1428
NAO-ONT-20250213-Zephyr10-07-div0003	2951
NAO-ONT-20250213-Zephyr10-07-div0004	1755
NAO-ONT-20250213-Zephyr10-07-div0005	2642
NAO-ONT-20250213-Zephyr10-07-div0006	2417
NAO-ONT-20250213-Zephyr10-07-div0007	1960
NAO-ONT-20250213-Zephyr10-07-div0008	2115
NAO-ONT-20250213-Zephyr10-07-div0009	2214
NAO-ONT-20250213-Zephyr10-07-div0010	1566
NAO-ONT-20250213-Zephyr10-07-div0011	1603
NAO-ONT-20250213-Zephyr10-07-div0012	1798
NAO-ONT-20250213-Zephyr10-07-div0013	1883
NAO-ONT-20250213-Zephyr10-07-div0014	1697
NAO-ONT-20250213-Zephyr10-07-div0015	1094
NAO-ONT-20250213-Zephyr10-07-div0016	1979
NAO-ONT-20250213-Zephyr10-07-div0017	2446
NAO-ONT-20250213-Zephyr10-07-div0018	1320
NAO-ONT-20250213-Zephyr10-07-div0019	1767
NAO-ONT-20250213-Zephyr10-07-div0020	866
NAO-ONT-20250213-Zephyr10-07-div0021	2377
NAO-ONT-20250213-Zephyr10-07-div0022	2032
NAO-ONT-20250213-Zephyr10-07-div0023	2024
NAO-ONT-20250213-Zephyr10-07-div0024	1783
NAO-ONT-20250213-Zephyr10-07-div0025	2743
NAO-ONT-20250213-Zephyr10-07-div0026	2524
NAO-ONT-20250213-Zephyr10-07-div0027	1085
NAO-ONT-20250213-Zephyr10-07-div0028	2966
NAO-ONT-20250213-Zephyr10-07-div0029	1935
NAO-ONT-20250213-Zephyr10-07-div0030	2640
NAO-ONT-20250213-Zephyr10-07-div0031	1737
NAO-ONT-20250213-Zephyr10-07-div0032	1924
NAO-ONT-20250213-Zephyr10-07-div0033	2283
NAO-ONT-20250213-Zephyr10-07-div0034	835
NAO-ONT-20250213-Zephyr10-07-div0035	2165
NAO-ONT-20250213-Zephyr10-07-div0036	2212
NAO-ONT-20250213-Zephyr10-07-div0037	1976
NAO-ONT-20250213-Zephyr10-07-div0038	2559
NAO-ONT-20250213-Zephyr10-07-div0039	2249
NAO-ONT-20250213-Zephyr10-07-div0040	1471
NAO-ONT-20250213-Zephyr10-07-div0041	2380
NAO-ONT-20250213-Zephyr10-07-div0042	2085
NAO-ONT-20250213-Zephyr10-07-div0043	1130
NAO-ONT-20250213-Zephyr10-07-div0044	1665
NAO-ONT-20250213-Zephyr10-07-div0045	1436
NAO-ONT-20250213-Zephyr10-07-div0046	1731
NAO-ONT-20250213-Zephyr10-07-div0047	1535
NAO-ONT-20250213-Zephyr10-07-div0048	1629
NAO-ONT-20250213-Zephyr10-07-div0049	2666
NAO-ONT-20250213-Zephyr10-07-div0050	3195
NAO-ONT-20250213-Zephyr10-07-div0051	1850
NAO-ONT-20250213-Zephyr10-07-div0052	2324
NAO-ONT-20250213-Zephyr10-07-div0053	2185
NAO-ONT-20250213-Zephyr10-QC-01-div0001	2454
NAO-ONT-20250213-Zephyr10-QC-01-div0002	3182
NAO-ONT-20250213-Zephyr10-QC-01-div0003	2111
NAO-ONT-20250213-Zephyr10-QC-01-div0004	3406
NAO-ONT-20250213-Zephyr10-QC-01-div0005	3349
NAO-ONT-20250213-Zephyr10-QC-01-div0006	3100
NAO-ONT-20250213-Zephyr10-QC-01-div0007	4664
NAO-ONT-20250213-Zephyr10-QC-01-div0008	3230
NAO-ONT-20250213-Zephyr10-QC-01-div0009	2214
NAO-ONT-20250213-Zephyr10-QC-01-div0010	3594
NAO-ONT-20250213-Zephyr10-QC-01-div0011	3351
NAO-ONT-20250213-Zephyr10-QC-01-div0012	2363
NAO-ONT-20250213-Zephyr10-QC-01-div0013	3049
NAO-ONT-20250213-Zephyr10-QC-01-div0014	3696
NAO-ONT-20250213-Zephyr10-QC-01-div0015	4020
NAO-ONT-20250213-Zephyr10-QC-02-div0001	6258
NAO-ONT-20250213-Zephyr10-QC-02-div0002	7506
NAO-ONT-20250213-Zephyr10-QC-02-div0003	5355
NAO-ONT-20250213-Zephyr10-QC-02-div0004	8473
NAO-ONT-20250213-Zephyr10-QC-02-div0005	8003
NAO-ONT-20250213-Zephyr10-QC-02-div0006	7189
NAO-ONT-20250213-Zephyr10-QC-02-div0007	10955
NAO-ONT-20250213-Zephyr10-QC-02-div0008	7810
NAO-ONT-20250213-Zephyr10-QC-02-div0009	5492
NAO-ONT-20250213-Zephyr10-QC-02-div0010	8359
NAO-ONT-20250213-Zephyr10-QC-02-div0011	7726
NAO-ONT-20250213-Zephyr10-QC-02-div0012	5326
NAO-ONT-20250213-Zephyr10-QC-02-div0013	7219
NAO-ONT-20250213-Zephyr10-QC-02-div0014	9015
NAO-ONT-20250213-Zephyr10-QC-02-div0015	9768
NAO-ONT-20250213-Zephyr10-QC-03-div0001	3969
NAO-ONT-20250213-Zephyr10-QC-03-div0002	4799
NAO-ONT-20250213-Zephyr10-QC-03-div0003	3571
NAO-ONT-20250213-Zephyr10-QC-03-div0004	5453
NAO-ONT-20250213-Zephyr10-QC-03-div0005	5056
NAO-ONT-20250213-Zephyr10-QC-03-div0006	4674
NAO-ONT-20250213-Zephyr10-QC-03-div0007	7276
NAO-ONT-20250213-Zephyr10-QC-03-div0008	5016
NAO-ONT-20250213-Zephyr10-QC-03-div0009	3547
NAO-ONT-20250213-Zephyr10-QC-03-div0010	5492
NAO-ONT-20250213-Zephyr10-QC-03-div0011	5157
NAO-ONT-20250213-Zephyr10-QC-03-div0012	3519
NAO-ONT-20250213-Zephyr10-QC-03-div0013	4847
NAO-ONT-20250213-Zephyr10-QC-03-div0014	5795
NAO-ONT-20250213-Zephyr10-QC-03-div0015	6386
NAO-ONT-20250213-Zephyr10-QC-04-div0001	7815
NAO-ONT-20250213-Zephyr10-QC-04-div0002	8832
NAO-ONT-20250213-Zephyr10-QC-04-div0003	7208
NAO-ONT-20250213-Zephyr10-QC-04-div0004	10592
NAO-ONT-20250213-Zephyr10-QC-04-div0005	9590
NAO-ONT-20250213-Zephyr10-QC-04-div0006	8822
NAO-ONT-20250213-Zephyr10-QC-04-div0007	12995
NAO-ONT-20250213-Zephyr10-QC-04-div0008	9213
NAO-ONT-20250213-Zephyr10-QC-04-div0009	6714
NAO-ONT-20250213-Zephyr10-QC-04-div0010	10067
NAO-ONT-20250213-Zephyr10-QC-04-div0011	9420
NAO-ONT-20250213-Zephyr10-QC-04-div0012	6445
NAO-ONT-20250213-Zephyr10-QC-04-div0013	8890
NAO-ONT-20250213-Zephyr10-QC-04-div0014	10871
NAO-ONT-20250213-Zephyr10-QC-04-div0015	11749
NAO-ONT-20250213-Zephyr10-QC-05-div0001	7119
NAO-ONT-20250213-Zephyr10-QC-05-div0002	8589
NAO-ONT-20250213-Zephyr10-QC-05-div0003	6491
NAO-ONT-20250213-Zephyr10-QC-05-div0004	9586
NAO-ONT-20250213-Zephyr10-QC-05-div0005	8971
NAO-ONT-20250213-Zephyr10-QC-05-div0006	8071
NAO-ONT-20250213-Zephyr10-QC-05-div0007	12475
NAO-ONT-20250213-Zephyr10-QC-05-div0008	8873
NAO-ONT-20250213-Zephyr10-QC-05-div0009	6349
NAO-ONT-20250213-Zephyr10-QC-05-div0010	9462
NAO-ONT-20250213-Zephyr10-QC-05-div0011	8909
NAO-ONT-20250213-Zephyr10-QC-05-div0012	6186
NAO-ONT-20250213-Zephyr10-QC-05-div0013	8269
NAO-ONT-20250213-Zephyr10-QC-05-div0014	10248
NAO-ONT-20250213-Zephyr10-QC-05-div0015	11157
NAO-ONT-20250213-Zephyr10-QC-06-div0001	2511
NAO-ONT-20250213-Zephyr10-QC-06-div0002	2853
NAO-ONT-20250213-Zephyr10-QC-06-div0003	2200
NAO-ONT-20250213-Zephyr10-QC-06-div0004	3325
NAO-ONT-20250213-Zephyr10-QC-06-div0005	2942
NAO-ONT-20250213-Zephyr10-QC-06-div0006	2734
NAO-ONT-20250213-Zephyr10-QC-06-div0007	4197
NAO-ONT-20250213-Zephyr10-QC-06-div0008	3019
NAO-ONT-20250213-Zephyr10-QC-06-div0009	2096
NAO-ONT-20250213-Zephyr10-QC-06-div0010	3101
NAO-ONT-20250213-Zephyr10-QC-06-div0011	3081
NAO-ONT-20250213-Zephyr10-QC-06-div0012	2004
NAO-ONT-20250213-Zephyr10-QC-06-div0013	2885
NAO-ONT-20250213-Zephyr10-QC-06-div0014	3336
NAO-ONT-20250213-Zephyr10-QC-06-div0015	3804
NAO-ONT-20250213-Zephyr10-QC-07-div0001	2911
NAO-ONT-20250213-Zephyr10-QC-07-div0002	3743
NAO-ONT-20250213-Zephyr10-QC-07-div0003	2698
NAO-ONT-20250213-Zephyr10-QC-07-div0004	4083
NAO-ONT-20250213-Zephyr10-QC-07-div0005	3900
NAO-ONT-20250213-Zephyr10-QC-07-div0006	3597
NAO-ONT-20250213-Zephyr10-QC-07-div0007	5563
NAO-ONT-20250213-Zephyr10-QC-07-div0008	3737
NAO-ONT-20250213-Zephyr10-QC-07-div0009	2704
NAO-ONT-20250213-Zephyr10-QC-07-div0010	4181
NAO-ONT-20250213-Zephyr10-QC-07-div0011	3905
NAO-ONT-20250213-Zephyr10-QC-07-div0012	2600
NAO-ONT-20250213-Zephyr10-QC-07-div0013	3699
NAO-ONT-20250213-Zephyr10-QC-07-div0014	4350
NAO-ONT-20250213-Zephyr10-QC-07-div0015	4839
NAO-ONT-20250220-Zephyr11-08-div0001	7816
NAO-ONT-20250220-Zephyr11-08-div0002	1307
NAO-ONT-20250220-Zephyr11-08-div0003	3979
NAO-ONT-20250220-Zephyr11-08-div0004	6028
NAO-ONT-20250220-Zephyr11-08-div0005	5187
NAO-ONT-20250220-Zephyr11-08-div0006	2102
NAO-ONT-20250220-Zephyr11-08-div0007	8414
NAO-ONT-20250220-Zephyr11-08-div0008	8571
NAO-ONT-20250220-Zephyr11-08-div0009	5636
NAO-ONT-20250220-Zephyr11-08-div0010	6104
NAO-ONT-20250220-Zephyr11-08-div0011	5436
NAO-ONT-20250220-Zephyr11-08-div0012	6158
NAO-ONT-20250220-Zephyr11-08-div0013	8932
NAO-ONT-20250220-Zephyr11-08-div0014	6520
NAO-ONT-20250220-Zephyr11-08-div0015	8215
NAO-ONT-20250220-Zephyr11-08-div0016	6619
NAO-ONT-20250220-Zephyr11-08-div0017	4646
NAO-ONT-20250220-Zephyr11-08-div0018	6888
NAO-ONT-20250220-Zephyr11-08-div0019	5338
NAO-ONT-20250220-Zephyr11-08-div0020	4499
NAO-ONT-20250220-Zephyr11-08-div0021	6234
NAO-ONT-20250220-Zephyr11-08-div0022	7616
NAO-ONT-20250220-Zephyr11-08-div0023	7460
NAO-ONT-20250220-Zephyr11-08-div0024	6110
NAO-ONT-20250220-Zephyr11-08-div0025	4706
NAO-ONT-20250220-Zephyr11-08-div0026	4536
NAO-ONT-20250220-Zephyr11-08-div0027	7081
NAO-ONT-20250220-Zephyr11-08-div0028	6106
NAO-ONT-20250220-Zephyr11-08-div0029	6644
NAO-ONT-20250220-Zephyr11-08-div0030	4609
NAO-ONT-20250220-Zephyr11-08-div0031	4633
NAO-ONT-20250220-Zephyr11-08-div0032	7747
NAO-ONT-20250220-Zephyr11-08-div0033	5271
NAO-ONT-20250220-Zephyr11-08-div0034	8642
NAO-ONT-20250220-Zephyr11-08-div0035	4928
NAO-ONT-20250220-Zephyr11-08-div0036	7116
NAO-ONT-20250220-Zephyr11-08-div0037	8186
NAO-ONT-20250220-Zephyr11-08-div0038	4923
NAO-ONT-20250220-Zephyr11-08-div0039	6445
NAO-ONT-20250220-Zephyr11-08-div0040	8716
NAO-ONT-20250220-Zephyr11-08-div0041	7579
NAO-ONT-20250220-Zephyr11-08-div0042	9874
NAO-ONT-20250220-Zephyr11-08-div0043	3597
NAO-ONT-20250220-Zephyr11-08-div0044	5581
NAO-ONT-20250220-Zephyr11-08-div0045	7530
NAO-ONT-20250220-Zephyr11-08-div0046	6741
NAO-ONT-20250220-Zephyr11-09-div0001	9512
NAO-ONT-20250220-Zephyr11-09-div0002	1599
NAO-ONT-20250220-Zephyr11-09-div0003	4785
NAO-ONT-20250220-Zephyr11-09-div0004	7314
NAO-ONT-20250220-Zephyr11-09-div0005	6389
NAO-ONT-20250220-Zephyr11-09-div0006	2509
NAO-ONT-20250220-Zephyr11-09-div0007	10978
NAO-ONT-20250220-Zephyr11-09-div0008	10674
NAO-ONT-20250220-Zephyr11-09-div0009	6797
NAO-ONT-20250220-Zephyr11-09-div0010	7429
