sample	reads
NAO-ONT-20250120-Zephyr8-07-div0036	487
NAO-ONT-20250120-Zephyr8-07-div0037	347
NAO-ONT-20250120-Zephyr8-07-div0038	113
NAO-ONT-20250120-Zephyr8-07-div0039	813
NAO-ONT-20250120-Zephyr8-07-div0040	802
NAO-ONT-20250120-Zephyr8-07-div0041	661
NAO-ONT-20250120-Zephyr8-09-div0001	1069
NAO-ONT-20250120-Zephyr8-09-div0002	611
NAO-ONT-20250120-Zephyr8-09-div0003	1389
NAO-ONT-20250120-Zephyr8-09-div0004	823
NAO-ONT-20250120-Zephyr8-09-div0005	1388
NAO-ONT-20250120-Zephyr8-09-div0006	652
NAO-ONT-20250120-Zephyr8-09-div0007	541
NAO-ONT-20250120-Zephyr8-09-div0008	1314
NAO-ONT-20250120-Zephyr8-09-div0009	868
NAO-ONT-20250120-Zephyr8-09-div0010	814
NAO-ONT-20250120-Zephyr8-09-div0011	796
NAO-ONT-20250120-Zephyr8-09-div0012	888
NAO-ONT-20250120-Zephyr8-09-div0013	747
NAO-ONT-20250120-Zephyr8-09-div0014	592
NAO-ONT-20250120-Zephyr8-09-div0015	498
NAO-ONT-20250120-Zephyr8-09-div0016	581
NAO-ONT-20250120-Zephyr8-09-div0017	1158
NAO-ONT-20250120-Zephyr8-09-div0018	738
NAO-ONT-20250120-Zephyr8-09-div0019	631
NAO-ONT-20250120-Zephyr8-09-div0020	691
NAO-ONT-20250120-Zephyr8-09-div0021	474
NAO-ONT-20250120-Zephyr8-09-div0022	1131
NAO-ONT-20250120-Zephyr8-09-div0023	1215
NAO-ONT-20250120-Zephyr8-09-div0024	1124
NAO-ONT-20250120-Zephyr8-09-div0025	786
NAO-ONT-20250120-Zephyr8-09-div0026	787
NAO-ONT-20250120-Zephyr8-09-div0027	773
NAO-ONT-20250120-Zephyr8-09-div0028	1309
NAO-ONT-20250120-Zephyr8-09-div0029	492
NAO-ONT-20250120-Zephyr8-09-div0030	890
NAO-ONT-20250120-Zephyr8-09-div0031	661
NAO-ONT-20250120-Zephyr8-09-div0032	598
NAO-ONT-20250120-Zephyr8-09-div0033	543
NAO-ONT-20250120-Zephyr8-09-div0034	573
NAO-ONT-20250120-Zephyr8-09-div0035	1036
NAO-ONT-20250120-Zephyr8-09-div0036	844
NAO-ONT-20250120-Zephyr8-09-div0037	754
NAO-ONT-20250120-Zephyr8-09-div0038	261
NAO-ONT-20250120-Zephyr8-09-div0039	1146
NAO-ONT-20250120-Zephyr8-09-div0040	1162
NAO-ONT-20250120-Zephyr8-09-div0041	1046
NAO-ONT-20250120-Zephyr8-10-div0001	2515
NAO-ONT-20250120-Zephyr8-10-div0002	1613
NAO-ONT-20250120-Zephyr8-10-div0003	3414
NAO-ONT-20250120-Zephyr8-10-div0004	1936
NAO-ONT-20250120-Zephyr8-10-div0005	3639
NAO-ONT-20250120-Zephyr8-10-div0006	1640
NAO-ONT-20250120-Zephyr8-10-div0007	1445
NAO-ONT-20250120-Zephyr8-10-div0008	3455
NAO-ONT-20250120-Zephyr8-10-div0009	2202
NAO-ONT-20250120-Zephyr8-10-div0010	2199
NAO-ONT-20250120-Zephyr8-10-div0011	1932
NAO-ONT-20250120-Zephyr8-10-div0012	2351
NAO-ONT-20250120-Zephyr8-10-div0013	1958
NAO-ONT-20250120-Zephyr8-10-div0014	1526
NAO-ONT-20250120-Zephyr8-10-div0015	1252
NAO-ONT-20250120-Zephyr8-10-div0016	1403
NAO-ONT-20250120-Zephyr8-10-div0017	3065
NAO-ONT-20250120-Zephyr8-10-div0018	2025
NAO-ONT-20250120-Zephyr8-10-div0019	1637
NAO-ONT-20250120-Zephyr8-10-div0020	1814
NAO-ONT-20250120-Zephyr8-10-div0021	1257
NAO-ONT-20250120-Zephyr8-10-div0022	2922
NAO-ONT-20250120-Zephyr8-10-div0023	2825
NAO-ONT-20250120-Zephyr8-10-div0024	2630
NAO-ONT-20250120-Zephyr8-10-div0025	2028
NAO-ONT-20250120-Zephyr8-10-div0026	1858
NAO-ONT-20250120-Zephyr8-10-div0027	1773
NAO-ONT-20250120-Zephyr8-10-div0028	3386
NAO-ONT-20250120-Zephyr8-10-div0029	1144
NAO-ONT-20250120-Zephyr8-10-div0030	2106
NAO-ONT-20250120-Zephyr8-10-div0031	1542
NAO-ONT-20250120-Zephyr8-10-div0032	1640
NAO-ONT-20250120-Zephyr8-10-div0033	1539
NAO-ONT-20250120-Zephyr8-10-div0034	1580
NAO-ONT-20250120-Zephyr8-10-div0035	2455
NAO-ONT-20250120-Zephyr8-10-div0036	2125
NAO-ONT-20250120-Zephyr8-10-div0037	1988
NAO-ONT-20250120-Zephyr8-10-div0038	638
NAO-ONT-20250120-Zephyr8-10-div0039	2790
NAO-ONT-20250120-Zephyr8-10-div0040	2991
NAO-ONT-20250120-Zephyr8-10-div0041	2511
NAO-ONT-20250120-Zephyr8-11-div0001	5994
NAO-ONT-20250120-Zephyr8-11-div0002	3341
NAO-ONT-20250120-Zephyr8-11-div0003	8350
NAO-ONT-20250120-Zephyr8-11-div0004	4686
NAO-ONT-20250120-Zephyr8-11-div0005	8849
NAO-ONT-20250120-Zephyr8-11-div0006	3588
NAO-ONT-20250120-Zephyr8-11-div0007	3141
NAO-ONT-20250120-Zephyr8-11-div0008	8380
NAO-ONT-20250120-Zephyr8-11-div0009	5260
NAO-ONT-20250120-Zephyr8-11-div0010	5008
NAO-ONT-20250120-Zephyr8-11-div0011	4545
NAO-ONT-20250120-Zephyr8-11-div0012	5165
NAO-ONT-20250120-Zephyr8-11-div0013	4257
NAO-ONT-20250120-Zephyr8-11-div0014	3331
NAO-ONT-20250120-Zephyr8-11-div0015	2722
NAO-ONT-20250120-Zephyr8-11-div0016	3030
NAO-ONT-20250120-Zephyr8-11-div0017	7330
NAO-ONT-20250120-Zephyr8-11-div0018	4346
NAO-ONT-20250120-Zephyr8-11-div0019	3938
NAO-ONT-20250120-Zephyr8-11-div0020	4072
NAO-ONT-20250120-Zephyr8-11-div0021	2638
NAO-ONT-20250120-Zephyr8-11-div0022	7156
NAO-ONT-20250120-Zephyr8-11-div0023	7005
NAO-ONT-20250120-Zephyr8-11-div0024	6539
NAO-ONT-20250120-Zephyr8-11-div0025	5002
NAO-ONT-20250120-Zephyr8-11-div0026	4521
NAO-ONT-20250120-Zephyr8-11-div0027	4247
NAO-ONT-20250120-Zephyr8-11-div0028	8173
NAO-ONT-20250120-Zephyr8-11-div0029	2592
NAO-ONT-20250120-Zephyr8-11-div0030	5317
NAO-ONT-20250120-Zephyr8-11-div0031	3577
NAO-ONT-20250120-Zephyr8-11-div0032	3575
NAO-ONT-20250120-Zephyr8-11-div0033	3157
NAO-ONT-20250120-Zephyr8-11-div0034	3263
NAO-ONT-20250120-Zephyr8-11-div0035	5861
NAO-ONT-20250120-Zephyr8-11-div0036	5001
NAO-ONT-20250120-Zephyr8-11-div0037	4287
NAO-ONT-20250120-Zephyr8-11-div0038	1350
NAO-ONT-20250120-Zephyr8-11-div0039	6972
NAO-ONT-20250120-Zephyr8-11-div0040	7058
NAO-ONT-20250120-Zephyr8-11-div0041	6135
NAO-ONT-20250120-Zephyr8-12-div0001	7938
NAO-ONT-20250120-Zephyr8-12-div0002	4587
NAO-ONT-20250120-Zephyr8-12-div0003	10547
NAO-ONT-20250120-Zephyr8-12-div0004	6280
NAO-ONT-20250120-Zephyr8-12-div0005	11347
NAO-ONT-20250120-Zephyr8-12-div0006	4700
NAO-ONT-20250120-Zephyr8-12-div0007	4064
NAO-ONT-20250120-Zephyr8-12-div0008	10505
NAO-ONT-20250120-Zephyr8-12-div0009	6893
NAO-ONT-20250120-Zephyr8-12-div0010	6749
NAO-ONT-20250120-Zephyr8-12-div0011	5959
NAO-ONT-20250120-Zephyr8-12-div0012	6711
NAO-ONT-20250120-Zephyr8-12-div0013	5612
NAO-ONT-20250120-Zephyr8-12-div0014	4536
NAO-ONT-20250120-Zephyr8-12-div0015	3719
NAO-ONT-20250120-Zephyr8-12-div0016	3920
NAO-ONT-20250120-Zephyr8-12-div0017	9650
NAO-ONT-20250120-Zephyr8-12-div0018	5818
NAO-ONT-20250120-Zephyr8-12-div0019	5235
NAO-ONT-20250120-Zephyr8-12-div0020	5107
NAO-ONT-20250120-Zephyr8-12-div0021	3452
NAO-ONT-20250120-Zephyr8-12-div0022	9142
NAO-ONT-20250120-Zephyr8-12-div0023	8329
NAO-ONT-20250120-Zephyr8-12-div0024	8520
NAO-ONT-20250120-Zephyr8-12-div0025	6628
NAO-ONT-20250120-Zephyr8-12-div0026	6082
NAO-ONT-20250120-Zephyr8-12-div0027	5602
NAO-ONT-20250120-Zephyr8-12-div0028	10355
NAO-ONT-20250120-Zephyr8-12-div0029	3586
NAO-ONT-20250120-Zephyr8-12-div0030	6661
NAO-ONT-20250120-Zephyr8-12-div0031	4940
NAO-ONT-20250120-Zephyr8-12-div0032	4754
NAO-ONT-20250120-Zephyr8-12-div0033	4228
NAO-ONT-20250120-Zephyr8-12-div0034	4471
NAO-ONT-20250120-Zephyr8-12-div0035	7871
NAO-ONT-20250120-Zephyr8-12-div0036	6753
NAO-ONT-20250120-Zephyr8-12-div0037	5599
NAO-ONT-20250120-Zephyr8-12-div0038	1817
NAO-ONT-20250120-Zephyr8-12-div0039	8985
NAO-ONT-20250120-Zephyr8-12-div0040	8994
NAO-ONT-20250120-Zephyr8-12-div0041	8049
NAO-ONT-20250120-Zephyr8-13-div0001	8894
NAO-ONT-20250120-Zephyr8-13-div0002	5254
NAO-ONT-20250120-Zephyr8-13-div0003	10489
NAO-ONT-20250120-Zephyr8-13-div0004	7038
NAO-ONT-20250120-Zephyr8-13-div0005	11296
NAO-ONT-20250120-Zephyr8-13-div0006	5529
NAO-ONT-20250120-Zephyr8-13-div0007	5028
NAO-ONT-20250120-Zephyr8-13-div0008	11454
NAO-ONT-20250120-Zephyr8-13-div0009	7501
NAO-ONT-20250120-Zephyr8-13-div0010	7845
NAO-ONT-20250120-Zephyr8-13-div0011	6864
NAO-ONT-20250120-Zephyr8-13-div0012	8001
NAO-ONT-20250120-Zephyr8-13-div0013	6529
NAO-ONT-20250120-Zephyr8-13-div0014	5422
NAO-ONT-20250120-Zephyr8-13-div0015	4394
NAO-ONT-20250120-Zephyr8-13-div0016	4778
NAO-ONT-20250120-Zephyr8-13-div0017	9850
NAO-ONT-20250120-Zephyr8-13-div0018	6658
NAO-ONT-20250120-Zephyr8-13-div0019	6052
NAO-ONT-20250120-Zephyr8-13-div0020	6344
NAO-ONT-20250120-Zephyr8-13-div0021	4153
NAO-ONT-20250120-Zephyr8-13-div0022	9851
NAO-ONT-20250120-Zephyr8-13-div0023	8076
NAO-ONT-20250120-Zephyr8-13-div0024	9349
NAO-ONT-20250120-Zephyr8-13-div0025	7408
NAO-ONT-20250120-Zephyr8-13-div0026	6845
NAO-ONT-20250120-Zephyr8-13-div0027	6433
NAO-ONT-20250120-Zephyr8-13-div0028	10826
NAO-ONT-20250120-Zephyr8-13-div0029	4065
NAO-ONT-20250120-Zephyr8-13-div0030	7888
NAO-ONT-20250120-Zephyr8-13-div0031	5618
NAO-ONT-20250120-Zephyr8-13-div0032	5495
NAO-ONT-20250120-Zephyr8-13-div0033	5113
NAO-ONT-20250120-Zephyr8-13-div0034	5288
NAO-ONT-20250120-Zephyr8-13-div0035	8683
NAO-ONT-20250120-Zephyr8-13-div0036	7521
NAO-ONT-20250120-Zephyr8-13-div0037	6580
NAO-ONT-20250120-Zephyr8-13-div0038	2090
NAO-ONT-20250120-Zephyr8-13-div0039	9856
NAO-ONT-20250120-Zephyr8-13-div0040	9883
NAO-ONT-20250120-Zephyr8-13-div0041	8764
NAO-ONT-20250127-Zephyr9_14-div0000	4362
NAO-ONT-20250127-Zephyr9_14-div0001	5704
NAO-ONT-20250127-Zephyr9_14-div0002	3900
NAO-ONT-20250127-Zephyr9_14-div0003	4106
NAO-ONT-20250127-Zephyr9_14-div0004	3609
NAO-ONT-20250127-Zephyr9_14-div0005	4333
NAO-ONT-20250127-Zephyr9_14-div0006	3691
NAO-ONT-20250127-Zephyr9_14-div0007	3422
NAO-ONT-20250127-Zephyr9_14-div0008	3551
NAO-ONT-20250127-Zephyr9_14-div0009	3274
NAO-ONT-20250127-Zephyr9_14-div0010	3623
NAO-ONT-20250127-Zephyr9_14-div0011	3358
NAO-ONT-20250127-Zephyr9_14-div0012	6247
NAO-ONT-20250127-Zephyr9_14-div0013	6344
NAO-ONT-20250127-Zephyr9_14-div0014	5789
NAO-ONT-20250127-Zephyr9_14-div0015	3015
NAO-ONT-20250127-Zephyr9_14-div0016	2509
NAO-ONT-20250127-Zephyr9_14-div0017	4984
NAO-ONT-20250127-Zephyr9_14-div0018	5274
NAO-ONT-20250127-Zephyr9_14-div0019	5033
NAO-ONT-20250127-Zephyr9_14-div0020	4865
NAO-ONT-20250127-Zephyr9_14-div0021	6948
NAO-ONT-20250127-Zephyr9_14-div0022	4605
NAO-ONT-20250127-Zephyr9_14-div0023	5014
NAO-ONT-20250127-Zephyr9_14-div0024	2147
NAO-ONT-20250127-Zephyr9_14-div0025	4605
NAO-ONT-20250127-Zephyr9_14-div0026	6092
NAO-ONT-20250127-Zephyr9_14-div0027	5085
NAO-ONT-20250127-Zephyr9_14-div0028	5553
NAO-ONT-20250127-Zephyr9_14-div0029	4772
NAO-ONT-20250127-Zephyr9_14-div0030	4572
NAO-ONT-20250127-Zephyr9_14-div0031	4209
NAO-ONT-20250127-Zephyr9_14-div0032	3762
NAO-ONT-20250127-Zephyr9_15-div0000	24039
NAO-ONT-20250127-Zephyr9_15-div0001	30555
NAO-ONT-20250127-Zephyr9_15-div0002	20201
NAO-ONT-20250127-Zephyr9_15-div0003	19899
NAO-ONT-20250127-Zephyr9_15-div0004	17514
NAO-ONT-20250127-Zephyr9_15-div0005	20249
NAO-ONT-20250127-Zephyr9_15-div0006	17686
